Tarih,Gerçek,Tahmin,Alt_Sınır,Üst_Sınır
2025-03-02,2876.208,2876.7548852436353,2835.09164860597,2919.0303861401926
2025-03-03,2891.2263,2876.7550733894923,2835.5824966664354,2918.525474748583
2025-03-04,2914.8486,2891.7802129983397,2850.647726726708,2933.5062069878927
2025-03-05,2918.2553,2915.4131089551465,2873.8442319544383,2957.5832612497243
2025-03-06,2918.1999,2918.8217625521793,2877.683869042944,2960.5477422999975
2025-03-07,2910.4035,2918.7667480287137,2878.110560439508,2959.997244892904
2025-03-08,2910.4035,2910.966987765342,2870.813177627719,2951.6824256957916
2025-03-09,2910.4035,2910.967317311184,2871.281464933928,2951.2016937179183
2025-03-10,2884.5336,2910.967633663331,2871.743921937356,2950.727082419969
2025-03-11,2915.5794,2885.084615437466,2845.8344432957438,2924.8761317943386
2025-03-12,2937.9577,2916.14488494611,2875.8484564765513,2957.0059475304274
2025-03-13,2986.4564,2938.5336207201417,2897.8597105089507,2979.7784236373764
2025-03-14,2985.7968,2987.05285384211,2943.6869857228016,3031.0575801439836
2025-03-15,2985.7968,2986.3936223658857,2943.544792502756,3029.8661975259492
2025-03-16,2985.7968,2986.3942722363236,2944.0450190767065,3029.3527073994615
2025-03-17,2989.5188,2986.3949064355365,2944.536717322793,3028.848132446781
2025-03-18,3032.251,2990.119270260632,2948.6827260724804,3032.1381040179795
2025-03-19,3050.1754,3032.8695662109844,2989.424060991931,3076.9464679416155
2025-03-20,3050.4918,3050.802553641409,3007.2996853159016,3094.9347239157
2025-03-21,3023.4225,3051.120024019645,3008.117232924394,3094.7375651059338
2025-03-22,3023.4225,3024.0371034470695,2981.106268824864,3067.5861839133204
2025-03-23,3023.4225,3024.0377869715358,2981.6030918354254,3067.076420088602
2025-03-24,3009.9222,3024.038453950405,2982.0915811710775,3066.575362309817
2025-03-25,3021.2439,3010.5319586765077,2969.034805751835,3052.609102680274
2025-03-26,3021.3215,3021.8595018228702,2980.5574577783254,3063.7338746570535
2025-03-27,3055.4877,3021.9377360311632,2981.105227036228,3063.329532157495
2025-03-28,3084.5015,3056.119587227135,3014.056770992945,3098.7694131442804
2025-03-29,3084.5015,3085.1467465872556,3042.311561885439,3128.5850427755577
2025-03-30,3084.5015,3085.1476606369993,3042.8015537455112,3128.083090472226
2025-03-31,3086.3435,3085.1485563583424,3043.283756410898,3127.589267596
2025-04-01,3115.0514,3086.992352307624,3045.575981271765,3128.9719389060974
2025-04-02,3114.7409,3115.713858467727,3073.527632633943,3158.4791185132744
2025-04-03,3114.3916,3115.4042230206346,3073.6983042030233,3157.676034613749
2025-04-04,3037.3627,3115.0557439393774,3073.82356146708,3156.8410137432775
2025-04-05,3037.3627,3037.97280597391,2992.1283694618696,3084.5196563197132
2025-04-06,3037.3627,3037.973153552396,2992.6695595208394,3083.96256190169
2025-04-07,2981.5724,3037.9734858963984,2993.197282651128,3083.419510803169
2025-04-08,2981.3324,2982.1559684936933,2935.659417158664,3029.38895719384
